"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"148","Jaib30",43.28552102,-116.193515,"2022-08-04T08:05:12Z","Jackrab",c(-116.193515, 43.28552102),148,2022-08-04 02:05:12,2,216,2022-08-04
"149","Jaib301",43.35447298,-116.23443,"2022-08-08T07:34:42Z","Jackrab",c(-116.23443, 43.35447298),149,2022-08-08 01:34:42,1,220,2022-08-08
"150","Jaib31",43.20578598,-116.012898,"2022-08-03T04:56:45Z","Jackrab",c(-116.012898, 43.20578598),150,2022-08-02 22:56:45,22,214,2022-08-02
"151","Jaib310",43.21456502,-115.989064,"2022-08-11T07:21:11Z","Jackrab",c(-115.989064, 43.21456502),151,2022-08-11 01:21:11,1,223,2022-08-11
"152","Jaib311",43.35447298,-116.23443,"2022-08-08T07:39:13Z","Jackrab",c(-116.23443, 43.35447298),152,2022-08-08 01:39:13,1,220,2022-08-08
"153","Jaib312",43.27359499,-116.074672,"2022-08-12T07:52:26Z","Jackrab",c(-116.074672, 43.27359499),153,2022-08-12 01:52:26,1,224,2022-08-12
"154","Jaib32",43.38074103,-116.234479,"2022-08-04T07:28:33Z","Jackrab",c(-116.234479, 43.38074103),154,2022-08-04 01:28:33,1,216,2022-08-04
"155","Jaib321",43.35447298,-116.23443,"2022-08-08T07:39:31Z","Jackrab",c(-116.23443, 43.35447298),155,2022-08-08 01:39:31,1,220,2022-08-08
"156","Jaib33",43.36719898,-116.234421,"2022-08-04T07:31:08Z","Jackrab",c(-116.234421, 43.36719898),156,2022-08-04 01:31:08,1,216,2022-08-04
"157","Jaib331",43.35447298,-116.23443,"2022-08-08T07:40:17Z","Jackrab",c(-116.23443, 43.35447298),157,2022-08-08 01:40:17,1,220,2022-08-08
"158","Jaib34",43.21484397,-115.979022,"2022-08-05T07:00:39Z","Jackrab",c(-115.979022, 43.21484397),158,2022-08-05 01:00:39,1,217,2022-08-05
"159","Jaib35",43.21455899,-115.989312,"2022-08-05T07:02:12Z","Jackrab",c(-115.989312, 43.21455899),159,2022-08-05 01:02:12,1,217,2022-08-05
"160","Jaib36",43.40270899,-116.234374,"2022-08-08T06:54:05Z","Jackrab",c(-116.234374, 43.40270899),160,2022-08-08 00:54:05,0,220,2022-08-08
"161","Jaib37",43.37392503,-116.23446,"2022-08-08T06:57:49Z","Jackrab",c(-116.23446, 43.37392503),161,2022-08-08 00:57:49,0,220,2022-08-08
"162","Jaib38",43.371547,-116.234432,"2022-08-09T07:21:42Z","Jackrab",c(-116.234432, 43.371547),162,2022-08-09 01:21:42,1,221,2022-08-09
"163","Jaib39",43.214763,-115.981905,"2022-08-11T07:20:14Z","Jackrab",c(-115.981905, 43.214763),163,2022-08-11 01:20:14,1,223,2022-08-11
"164","Jaib4",43.21489401,-115.972232,"2022-08-03T04:48:41Z","Jackrab",c(-115.972232, 43.21489401),164,2022-08-02 22:48:41,22,214,2022-08-02
