"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"134",134,"Jackrab","Jaib231",2022-08-08,1,220,2022-08-08 01:29:55,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"135",135,"Jackrab","Jaib24",2022-08-04,2,216,2022-08-04 02:02:42,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"136",136,"Jackrab","Jaib241",2022-08-08,1,220,2022-08-08 01:32:25,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"137",137,"Jackrab","Jaib25",2022-08-04,2,216,2022-08-04 02:03:27,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"138",138,"Jackrab","Jaib251",2022-08-08,1,220,2022-08-08 01:32:33,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"139",139,"Jackrab","Jaib26",2022-08-04,2,216,2022-08-04 02:03:39,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"140",140,"Jackrab","Jaib261",2022-08-08,1,220,2022-08-08 01:33:03,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"141",141,"Jackrab","Jaib27",2022-08-04,2,216,2022-08-04 02:03:49,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"142",142,"Jackrab","Jaib271",2022-08-08,1,220,2022-08-08 01:33:28,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"143",143,"Jackrab","Jaib28",2022-08-04,2,216,2022-08-04 02:04:26,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"144",144,"Jackrab","Jaib281",2022-08-08,1,220,2022-08-08 01:33:43,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"145",145,"Jackrab","Jaib29",2022-08-04,2,216,2022-08-04 02:05:02,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"146",146,"Jackrab","Jaib291",2022-08-08,1,220,2022-08-08 01:34:31,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"147",147,"Jackrab","Jaib3",2022-08-01,22,213,2022-08-01 22:03:02,43.33699596,-116.217203,c(-116.217203, 43.33699596),"1"
"148",148,"Jackrab","Jaib30",2022-08-04,2,216,2022-08-04 02:05:12,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"149",149,"Jackrab","Jaib301",2022-08-08,1,220,2022-08-08 01:34:42,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"150",150,"Jackrab","Jaib31",2022-08-02,22,214,2022-08-02 22:56:45,43.20578598,-116.012898,c(-116.012898, 43.20578598),"2"
"151",151,"Jackrab","Jaib310",2022-08-11,1,223,2022-08-11 01:21:11,43.21456502,-115.989064,c(-115.989064, 43.21456502),"7"
"152",152,"Jackrab","Jaib311",2022-08-08,1,220,2022-08-08 01:39:13,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"153",153,"Jackrab","Jaib312",2022-08-12,1,224,2022-08-12 01:52:26,43.27359499,-116.074672,c(-116.074672, 43.27359499),"8"
"154",154,"Jackrab","Jaib32",2022-08-04,1,216,2022-08-04 01:28:33,43.38074103,-116.234479,c(-116.234479, 43.38074103),"3"
"155",155,"Jackrab","Jaib321",2022-08-08,1,220,2022-08-08 01:39:31,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"156",156,"Jackrab","Jaib33",2022-08-04,1,216,2022-08-04 01:31:08,43.36719898,-116.234421,c(-116.234421, 43.36719898),"3"
"157",157,"Jackrab","Jaib331",2022-08-08,1,220,2022-08-08 01:40:17,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"158",158,"Jackrab","Jaib34",2022-08-05,1,217,2022-08-05 01:00:39,43.21484397,-115.979022,c(-115.979022, 43.21484397),"4"
"159",159,"Jackrab","Jaib35",2022-08-05,1,217,2022-08-05 01:02:12,43.21455899,-115.989312,c(-115.989312, 43.21455899),"4"
"160",160,"Jackrab","Jaib36",2022-08-08,0,220,2022-08-08 00:54:05,43.40270899,-116.234374,c(-116.234374, 43.40270899),"5"
